"","Porcentagem","AR.Rmse.04.med.100","AR.Rmse.06.med.100","AR.Rmse.0204.med.100","AR.Rmse.0405.med.100","ARMA.Rmse.0402.med.100"
"1",5,0.180454433847629,0.31648069057173,0.214784324507967,0.113738743165079,0.244420053633183
"2",10,0.197914244563868,0.349819188558187,0.368323516126233,0.403466626393365,0.381176116301963
"3",20,0.40498878668695,0.503143398026934,0.564703988181543,0.657788165742905,0.49276596409552
"4",40,0.646689341944168,0.76328193292558,0.721049675385726,0.991339230384627,0.84094613516172
